Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
None,0,None,없음,Aucun,Keiner,Ninguna,Nessuna,Ingen,なし,沒有,没有,Żaden,
RootUnit,1,Root Unit,루트 유닛,Unité racine,Root-Einheit,Unidad de raíz,Unità di root,Root enhed,ルートユニット,根單位,根单位,Jednostka rdzeń,
Image,2,Image,이미지,Image,Bild,Imagen,Immagine,Billede,画像,圖片,图片,Obraz,
Mesh,3,Mesh,메시,Maillage,Netz,Malla,Maglia,Mesh,メッシュ,網格劃分,网格划分,Siatka,
MeshGroup,4,Mesh Group,메시 그룹,Groupe de maillage,Netzgruppe,Grupo de malla,Gruppo di maglie,Mesh Gruppe,メッシュグループ,網格劃分組,网格划分组,Grupa siatki,
AnimationClip,5,Animation Clip,애니메이션 클립,Clip d'animation,Animationsclip,Clip de animación,Clip di animazione,Animation Clip,アニメーションクリップ,動畫剪輯,动画剪辑,Klip animacji,
ControlParameter,6,Control Parameter,컨트롤 파라미터,Paramètre de contrôle,Steuerparameter,Parámetro de control,Parametro di controllo,Kontrolparameter,制御パラメータ,控制參數,控制参数,Parametr kontrolny,
RootUnits,7,Root Units,루트 유닛,Unités racine,Root-Einheiten,Unidades de raíz,Unità di root,Root enheder,ルートユニット,根單位,根单位,Jednostki rdzeń,
Images,8,Images,이미지,Images,Bilder,Imágenes,Immagini,Billeder,画像,圖片,图片,Obrazy,
Meshes,9,Meshes,메시,Maillages,Netze,Mallas,Maglie,Masker,メッシュ,網格劃分,网格划分,Siatki,
MeshGroups,10,Mesh Groups,메시 그룹,Groupes de maillages,Netzgruppen,Grupos de malla,Gruppi di maglie,Mesh Grupper,メッシュグループ,網格劃分組,网格划分组,Grupy siatki,
AnimationClips,11,Animation Clips,애니메이션 클립,Clips d'animation,Animationsclips,Clips de animación,Clip di animazione,Animation Clips,アニメーションクリップ,動畫剪輯,动画剪辑,Klipy animacji,
ControlParameters,12,Control Parameters,컨트롤 파라미터,Paramètres de contrôle,Regelparameter,Parámetros de control,Parametri di controllo,Kontrolparametre,制御パラメータ,控制參數,控制参数,Parametry kontrolne,
Hierarchy,13,Hierarchy,전체 보기,Hiérarchie,Hierarchie,Jerarquía,Gerarchia,Hierarki,階層,等級制度,等级制度,Hierarchia,
Controller,14,Controller,컨트롤러,Contrôleur,Regler,Controlador,Controllore,Controller,コントローラ,調節器,调节器,Kontroler,
MakeNewPortrait,15,Make New Portrait,새 포트레이트 생성,Nouveau portrait,Neues Porträt,Nuevo retrato,Crea nuovo ritratto,Lav ny portræt,新しいポートレート,做新的肖像,做新的肖像,Zrób nowy portret,
RefreshToLoad,16,Refresh To Load,객체 갱신,Actualiser,Aktualisieren,Actualizar,Aggiorna per caricare,Opdater for at indlæse,リフレッシュ,刷新加載,刷新加载,Odświeżać,
LoadBackupFile,17,Load Backup file,백업으로부터 열기,Charger sauvegarde,Lade Backup-Datei,Cargar respaldo,Caricare il backup,Indlæs backupfil,バックアップファイル,加載備份文件,加载备份文件,Załaduj kopię zapasową,
Select,18,Select,선택,Choisir,Select,Select,Select,Vælg,選択,選擇,选择,Select,
AutoPlayEnabled,19,Auto-Play on Load ON,로드 후 자동 재생 ON,Auto-Jouer ON,Wiedergabe ON,Auto-Jugar ON,Auto-Play ON,Afspilning ON,ロード時に自動再生 ON,自動播放啟用,自动播放启用,Auto-odtwarzanie ON,
AutoPlayDisabled,20,Auto-Play on Load OFF,로드 후 자동 재생 OFF,Auto-Jouer OFF,Wiedergabe OFF,Auto-Juego OFF,Auto-Play OFF,Afspilning OFF,ロード時に自動再生 OFF,自動播放禁用,自动播放禁用,Auto-odtwarzanie OFF,
UnregistRootUnit,21,Unregist Root Unit,루트 유닛 해제,Annuler inscription,Unregistrieren,Anular el registro,Rilasciare Unità di root,Fjern root-enheden,登録を解除,未註冊的根單位,未注册的根单位,Wyrejestruj jednostkę rdzeń,
SelectImage,22,Select Image,이미지 선택,Choisir image,Bild auswählen,Elegir imagen,Scegli immagine,Vælg billede,画像を選択,選擇圖像,选择图像,Wybierz obraz,
RefreshImageProperty,23,Refresh Image Property,이미지 정보 갱신,Actualiser propriété,Eigenschaften aktualisieren,Actualizar propiedad,Aggiorna proprietà,Opdater billedegenskab,画像プロパティを更新,刷新圖像屬性,刷新图像属性,Odśwież właściwość obrazu,
RemoveImage,24,Remove Image,이미지 삭제,Supprimer image,Entferne Bild,Eliminar imagen,Rimuovi immagine,Fjern billede,イメージを削除,刪除圖像,删除图像,Usuń obraz,
Setting,25,Setting,설정,Réglage,Rahmen,Ajuste,Impostazione,Indstilling,設定,設定,设定,Ustawienia,
MakeMesh,26,Make Mesh,메시 제작,Faire,Machen,Hacer,Creare,Lav,メッシュを作る,做一個網格劃分,做一个网格划分,Utwórz siatkę,
Pivot,27,Pivot,기준점,Pivot,Drehpunkt,Pivote,Perno,Drejetap,ピボット,樞,枢,Oś,
Modify,28,Modify,수정,Modifier,Ändern,Modificar,Modificare,Modificere,変更,修改,修改,Modyfikować,
Name,29,Name,이름,Nom,Name,Nombre,Nome,Navn,名,名,名,Nazwa,
ImageAsset,30,Image Asset,이미지 에셋,Image Asset,Bildasset,Imagen Asset,Immagine Asset,Billede Asset,画像アセット,圖像資產,图像资产,Zasób obrazu,
Width,31,Width,가로,Largeur,Breite,Anchura,Larghezza,Bredde,幅,寬度,宽度,Szerokość,
Height,32,Height,세로,Hauteur,Höhe,Altura,Altezza,Højde,高さ,高度,高度,Wysokość,
Size,33,Size,크기,Taille,Größe,Tamaño,Dimensione,Størrelse,サイズ,尺寸,尺寸,Rozmiar,
ChangeImage,34,Change Image,이미지 변경,Changer image,Bild ändern,Cambiar imagen,Cambia immagine,Skift billede,画像の変更,更改圖像,更改图像,Zmień obraz,
ResetVertices,35,Reset Vertices,버텍스 초기화,Rétablir sommets,Zurücksetzen Netz,Restablecer vértices,Reimposta vertici,Nulstil vertikaler,頂点をリセット,重置頂點,重置顶点,Resetuj punkty,
RemoveMesh,36,Remove Mesh,메시 제거,Supprimer maillage,Entfernen Netz,Eliminar malla,Rimuovere maglia,Fjern Mesh,メッシュを削除,去除網格劃分,去除网格划分,Usuń siatkę,
AddVertexLinkEdge,37,Add Vertex / Link Edge,버텍스 추가 / 선 연결,Ajouter / Relier,Fügen / Verknüpfen,Agregar / Conectarse,Aggiungi / Collegare,Tilføj Vertex / Linkkanter,頂点を追加/エッジ接続,添加頂點/連接邊緣,添加顶点/连接边缘,Dodaj punkt / Połącz linie,
AddVertex,38,Add Vertex,버텍스 추가,Ajouter sommet,Fügen,Añadir Vértice,Aggiungi vertice,Tilføj Vertex,頂点を追加,添加頂點,添加顶点,Dodaj punkt,
LinkEdge,39,Link Edge,선 연결,Relier bords,Verknüpfen,Conecta bordes,Collega i bordi,Linkkanter,エッジ接続,連接邊緣,连接边缘,Połącz linie,
Polygon,40,Polygon,폴리곤,Polygone,Polygon,Polígono,Poligono,Polygon,ポリゴン,多邊形,多边形,Wielokąt,
MakePolygons,41,Make Polygons,폴리곤 만들기,Faire polygones,Machen Polygone,Hacer polígonos,Crea poligoni,Lav polygoner,ポリゴンを作る,做一個多邊形,做一个多边形,Twórz wielokątów,
AutoLinkEdge,42,Auto Link Edge,자동으로 선 연결,Auto-Connectez,Kanten verknüpfen,Auto-Conectarse,Auto-Collegare,Auto-Linkkanter,自動的にエッジの接続,自動連接邊緣,自动连接边缘,Auto-Połącz linie,
RemoveAllVertices,43,Remove All Vertices,모든 버텍스 제거,Supprimer tous sommets,Entfernen Scheitelpunkte,Eliminar todos vértices,Rimuovi tutti i vertici,Fjern alle vertikaler,すべての頂点を削除,刪除所有的頂點,删除所有的顶点,Usuń wszystkie punkty,
AddOrMoveVertexWithEdges,44,Add or Move Vertex with Edges,선과 함께 버텍스 추가/이동,Ajouter ou déplacer,Hinzufügen oder Verschieben,Agregar o mover,Aggiungi o sposta,Tilføj eller flyt vertex,頂点の追加または移動,用邊添加或移動頂點,用边添加或移动顶点,Dodaj lub przesuń punkt,
MoveView,45,Move View,화면 이동,Déplacer voir,Fokus verschieben,Mover vista,Sposta vista,Flyt visning,ビューを移動,移動視圖,移动视图,Przenieś widok,
RemoveVertexorEdge,46,Remove Vertex or Edge,버텍스/선 삭제,Supprimer,Entfernen,Eliminar vértice o borde,Rimuovi vertice o bordo,Fjern vertex eller kant,頂点またはエッジを削除,刪除頂點或邊緣,删除顶点或边缘,Usuń punkt lub linię,
SnapToVertex,47,Snap to Vertex,버텍스에 스냅,S'en tenir,Snap,Ajustar a vértice,Aggancia al vertice,Snap til Vertex,頂点にスナップ,對齊頂點,对齐顶点,Przyciągaj,
LCutEdge_RDeleteVertex,48,L:Cut Edge / R:Delete Vertex,L:선 자르기 / R:버텍스 제거,L: couper / R: Effacer,L:Schneiden / R:Entfernen,L:Cortar / R:Borrar,L: Tagliare / R: Elimina,L:Klipp / R:Fjern,L:エッジをカット/ R:頂点を削除,L:切割邊緣/R:刪除頂點,L:切割边缘/R:删除顶点,L:Wytnij linię/R:Usuń punkt,
AddOrMoveVertex,49,Add or Move Vertex,버텍스 추가/이동,Ajouter ou déplacer,Hinzufügen / Verschieben,Agregar o mover vértice,Aggiungi o sposta,Tilføj eller flyt vertex,頂点の追加または移動,添加或移動頂點,添加或移动顶点,Dodaj / Przenieś punkt,
RemoveVertex,50,Remove Vertex,버텍스 제거,Supprimer sommet,Entfernen Scheitelpunkt,Eliminar Vertex,Rimuovi vertice,Fjern vertex,頂点を削除,刪除頂點,删除顶点,Usuń punkt,
LinkVertices_TurnEdge,51,Link Vertices / Turn Edge,선 연결 / 선 회전,Lien / Virage,Verknüpfen / Wenden,Enlace / Turno,Collega / Gira,Link / Turn,頂点のリンク/エッジの回転,連接頂點/轉彎邊緣,连接顶点/转弯边缘,Połącz punkty / Obróć linię,
RemoveEdge,52,Remove Edge,선 제거,Supprimer bord,Entfernen Kante,Eliminar borde,Rimuovi bordo,Fjern kant,エッジを削除,刪除邊緣,删除边缘,Usuń linię,
CutEdge,53,Cut Edge,선 자르기,Bord coupé,Schneide,Borde corte,Taglia,Klippekant,エッジをカット,切割邊緣,切割边缘,Wytnij linię,
SelectPolygon,54,Select Polygon,폴리곤 선택,Choisir polygone,Wählen Polygon,Seleccionar,Seleziona poligono,Vælg Polygon,ポリゴンを選択,選擇多邊形,选择多边形,Wybierz wielokąt,
RemovePolygon,55,Remove Polygon,폴리곤 제거,Supprimer polygone,Entfernen Polygon,Eliminar,Rimuovi poligono,Fjern polygon,ポリゴンを削除,刪除多邊形,删除多边形,Usuń wielokąt,
MovePivot,56,Move Pivot,기준점 이동,Déplacer pivot,Pivot verschieben,Mover pivote,Sposta il perno,Flyt pivot,ピボット移動,移動樞軸,移动枢轴,Przenieś oś,
ResetPivot,57,Reset Pivot,기준점 초기화,Réinitialiser,Pivot zurücksetzen,Restablecer pivote,Reimposta il perno,Reset pivot,ピボットをリセット,重置樞軸,重置枢轴,Zresetuj oś,
SelectVertex,58,Select Vertex,버텍스 선택,Choisir sommet,Wählen,Seleccionar Vértice,Seleziona vertice,Vælg Vertex,頂点を選択,選擇頂點,选择顶点,Wybierz punkt,
Position,59,Position,위치,Position,Position,Posición,Posizione,Position,位置,位置,位置,Pozycja,
Rotation,60,Rotation,회전,Rotation,Drehung,Rotación,Rotazione,Rotation,回転,迴轉,回转,Obrót,
Scaling,61,Scaling,크기,Échelle,Skalierung,Escalada,Scalata,Skalering,サイズ,縮放,缩放,Skala,
Depth,62,Depth,깊이,Profondeur,Tiefe,Profundidad,Profondità,Dybde,深さ,深度,深度,Głębokość,
Color,63,Color,색상,Couleur,Farbe,Color,Colore,Farve,色,顏色,颜色,Kolor,
Visible,64,Visible,보이기,Visible,Sichtbar,Visible,Visibile,Synlig,見える,可見,可见,Widoczny,
Z_Depth,65,Z-Depth,Z-깊이,Z-Profondeur,Z-Tiefe,Z-Profundidad,Z-Profondità,Z-dybde,Z-深さ,Z深度,Z深度,Z-Głębokość,
Z_DepthRendering,66,Z-Depth Rendering,Z-깊이 렌더링,Rendu Z-Profondeur,Z-Tiefenwiedergabe,Z-Profundidad Render,Z-Profondità Render,Z-dybde Rendering,Z-深さレンダリング,Z深度渲染,Z深度渲染,Render Z-głębokości,
Bake,67,Bake,내보내기,Exporter,Backen,Hornear,Infornare,Bage,ベイク,導出,烘烤,Piec,
Coordinate,68,Coordinate,좌표계,Coordonner,Koordinate,Coordinar,Coordinata,Koordinere,座標系,坐標,坐标,Koordynować,
Bone,69,Bone,본,OS,Knochen,Hueso,Osso,Knogle,ボーン,骨,骨,Kość,
Bones,70,Bones,본,Des os,Knochen,Huesos,Ossa,Knogler,ボーン,骨,骨,Kości,
Modifier,71,Modifier,모디파이어,Modificateur,Modifikator,Modificador,Modificatore,Modifier,モディファイア,修改,修改,Modyfikator,
EditDefaultTransform,72,Edit Default Transform,기본 트랜스폼 수정,Transformation par défaut,Standard bearbeiten,Editar predeterminada,Trasformazione predefinita,Rediger standard,デフォルトの変換を編集,編輯默認轉換,编辑默认转换,Edytuj domyślną transform,
EditingDefaultTransform,73,Editing..,기본 트랜스폼 수정 중,Modifier..,Bearbeitung..,Edición..,Modifica..,Redigering..,編集..,編輯..,编辑..,Edycja..,
SetRootUnit,74,Set Root Unit,루트 유닛으로 지정,Définir unité racine,Stellen Root-Einheit,Unidad de raíz,Imposta unità di root,Indstil rodenheden,ルートユニットとして指定,設置根單位,设置根单位,Ustaw Jednostka rdzeń,
RemoveMeshGroup,75,Remove Mesh Group,메시 그룹 제거,Supprimer groupe de maillage,Entfernen Netzgruppe,Eliminar grupo de malla,Rimuovi gruppo di maglie,Fjern maskegruppe,メッシュグループを削除,去除網格劃分組,去除网格划分组,Usuń grupę siatki,
StartEditingBones,76,Start Editing Bones,본 편집 시작,Commencer à éditer les os,Beginnen Bearbeitung,Comience a editar huesos,Iniziare a modificare ossa,Start redigering,ボーンを編集,開始編輯骨頭,开始编辑骨头,Rozpocznij edycję kości,
EditingBones,77,Editing Bones,본 편집 중,Modification des os,Knochen bearbeiten,Editando huesos,Modifica ossa,Redigering..,ボーン編集中,編輯骨頭,编辑骨头,Edycja kości,
SelectBones,78,Select Bones,본 선택,Choisir les os,Wähle Knochen,Seleccionar huesos,Seleziona ossa,Vælg knogler,ボーン選択,選擇骨頭,选择骨头,Wybierz kości,
AddBones,79,Add Bones,본 추가,Ajouter des os,Fügen Knochen,Añadir huesos,Aggiungi ossa,Tilføj knogler,ボーン追加,添加骨骼,添加骨骼,Dodaj kości,
LinkBones,80,Link Bones,본 연결,Connectez les os,Link Knochen,Conecte huesos,Collegare ossa,Link knogler,ボーン接続,連接骨頭,连接骨头,Połącz kości,
Deselect,81,Deselect,선택 해제,Non choisir,Abwählen,Deseleccionar,Deseleziona,Fravælg,選択解除,取消,取消,Odznacz,
SelectAndLinkBones,82,Select and Link Bones,본을 선택하고 연결,Choisir et reliez les os,Wählen und verknüpfen,Seleccionar y vincular,Seleziona e collega ossa,Vælg og Link knogler,ボーンを選択して接続,選擇並連接骨頭,选择并连接骨头,Wybierz i połącz kości,
ExportImportBones,83,Export/Import Bones,내보내기/가져오기,Exporter / Importer,Exportieren/Importieren,Exportar / Importar,Esportare / Importare,Eksport / Import knogler,エクスポート/インポート,導出/導入骨骼,导出/导入骨骼,Eksportuj / Importuj,
RemoveAllBones,84,Remove All Bones,모든 본 제거,Enlever tous les os,Entferne alle Knochen,Eliminar todos huesos,Rimuovi tutte ossa,Fjern alle knogler,すべてのボーンを取り除く,刪除所有的骨頭,删除所有的骨头,Usuń wszystkie kości,
AddModifier,85,Add Modifier,모디파이어 추가,Ajouter modificateur,Fügen Modifizierer,Añadir modificador,Nuovo modificatore,Tilføj modifikator,モディファイアを追加,添加修飾符,添加修饰符,Dodaj modyfikator,
ModifierStack,86,Modifier Stack,모디파이어 스택,Modifier pile,Modifikatorstapel,Pila de modificadores,Pila modificatore,Stack af modifikator,モディファイアスタック,修改器堆棧,修改器堆栈,Stos modyfikatorów,
Socket,87,Socket,소켓,Socket,Socket,Zócalo,Socket,Socket,ソケット,套接,套接,Socket,
SocketEnabled,88,Socket Enabled,소켓 활성됨,Socket ON,Socket ON,Zócalo ON,Socket ON,Socket ON,ソケット有効,套接字已激活,套接字已激活,Socket ON,
SocketDisabled,89,Socket Disabled,소켓 비활성됨,Socket OFF,Sockel OFF,Zócalo OFF,Socket OFF,Socket OFF,ソケット無効,套接字被禁用,套接字被禁用,Socket OFF,
ShaderSetting,90,Shader Setting,쉐이더 설정,Réglage du shader,Shadereinstellung,Shader Config,Impostazione Shader,Shader indstilling,シェーダの設定,著色器設置,着色器设置,Ustawienie Shadera,
